callsign,number,origin,duration,day
SWA3239,WN3239,KLAX,"{""minutes"":52,""seconds"":8}",1612051200000
DAL1030,DL1030,KMSP,"{""hours"":3,""minutes"":53,""seconds"":2}",1612051200000
UAL1978,UA1978,KEWR,"{""hours"":5,""minutes"":46,""seconds"":18}",1612051200000
SKW5805,OO5805,,"{""hours"":1,""minutes"":43,""seconds"":16}",1612051200000
SKW5736,OO5736,KSLC,"{""hours"":1,""minutes"":54,""seconds"":46}",1612051200000
UAL419,UA419,KDEN,"{""hours"":2,""minutes"":15,""seconds"":56}",1612051200000
ASA607,AS607,KMCF,"{""hours"":6,""minutes"":12,""seconds"":30}",1612051200000
UAL1687,UA1687,KPDX,"{""hours"":1,""minutes"":28,""seconds"":26}",1612051200000
SKW3380,OO3380,KLAS,"{""hours"":1,""minutes"":12,""seconds"":41}",1612051200000
